paper_idx,para_idx,GPT_output
2,1,"{
  ""system"": ""Quantum dot coupled to a topological superconductor and a normal lead"",
  ""model"": ""Kondo/Anderson impurity model with Majorana coupling; renormalization-group analysis, slave-boson mean-field theory, DMRG"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
2,2,"{""system"":""Quantum dot coupled to a topological superconductor and a normal lead"",""model"":""Kondo/Anderson-like quantum impurity coupled to a Majorana zero mode; renormalization-group, slave-boson mean-field, density-matrix renormalization-group"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
2,4,"{""system"":""Quantum dot coupled to a one-dimensional topological superconductor (Majorana zero modes) and a normal lead"",""model"":""Anderson/Kondo impurity model with Majorana coupling; renormalization-group, slave-boson mean-field theory, density-matrix renormalization-group (DMRG)"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
3,0,"{""system"": ""Bi2Sr2CaCu2O8+δ (Bi-2212); cuprate"", ""model"": ""N/A"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
2,3,"{
  ""system"": ""Quantum dot coupled to a topological superconductor (Majorana zero modes) and a normal lead"",
  ""model"": ""Anderson/Kondo impurity model with Majorana coupling; renormalization-group, slave-boson mean-field, DMRG"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
3,1,"{
  ""system"": ""Bi2Sr2CaCu2O8 (Bi-2212) cuprate"",
  ""model"": ""Experimental: synthesis, structural (modulation vector q) and Tc measurements"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
3,3,"{
  ""system"": ""Bi2Sr2CaCu2O8 (Bi-2212); cuprate superconductor"",
  ""model"": ""N/A"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
3,4,"{""system"":""Bi2Sr2CaCu2O8 (Bi-2212); bismuth cuprate"",""model"":""N/A"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
3,2,"{""system"": ""Bi2Sr2CaCu2O8+δ (Bi-2212 cuprate)"", ""model"": ""Experimental study: oxygen annealing, structural (modulation vector q) measurements and Tc characterization"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
4,1,"{""system"":""REBCO (RE = rare earth) high-temperature superconducting wires"",""model"":""IBAD-MOCVD fabrication; transport measurements and materials characterization"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
4,0,"{""system"":""REBCO (rare-earth) 2G high-temperature superconductor wires on Hastelloy C276 substrates"",""model"":""IBAD-MOCVD fabrication; electropolishing and buffer-stack deposition; low-temperature in-field transport measurements"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
4,2,"{""system"": ""REBCO (RE = rare earth) 2G HTS wires on Hastelloy C276"", ""model"": ""IBAD-MOCVD fabrication; experimental characterization"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
4,4,"{""system"":""REBCO (RE = rare earth) 2G HTS wires on Hastelloy C276 substrates"",""model"":""IBAD-MOCVD fabrication; experimental transport and structural characterization"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
4,3,"{""system"": ""REBCO (RE = rare earth) coated conductors; 2G HTS wires on Hastelloy C276"", ""model"": ""IBAD-MOCVD fabrication; materials characterization (transport and structural)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
5,0,"{""system"":""Bi2Sr2CaCu2O8+δ; cuprate"",""model"":""Tunneling spectroscopy (break-junction)"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
5,1,"{""system"": ""Bi2Sr2CaCu2O8+δ; cuprate"", ""model"": ""tunneling spectroscopy; break-junction Josephson IcRn measurements"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
5,2,"{""system"": ""Bi2Sr2CaCu2O8+δ; cuprate superconductor"", ""model"": ""tunneling spectroscopy / break-junction Josephson measurements"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
5,4,"{""system"": ""Bi2Sr2CaCu2O8+δ; cuprate superconductor"", ""model"": ""tunneling spectroscopy; break-junction Josephson measurements"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
5,3,"{""system"":""Bi2Sr2CaCu2O8+δ; cuprate"",""model"":""Tunneling spectroscopy (break-junction Josephson IcRn measurements)"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
6,0,"{""system"":""Fenna–Matthews–Olson (FMO) photosynthetic complex; superconducting-circuit quantum simulator"",""model"":""Analog quantum simulator for open quantum systems (superconducting circuits)"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
6,3,"{""system"":""Fenna–Matthews–Olson photosynthetic exciton system; simulated with superconducting circuits (analog quantum simulator)"",""model"":""Analog quantum simulator / superconducting-circuit implementation for open quantum systems"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
6,1,"{""system"":""Fenna–Matthews–Olson (FMO) photosynthetic complex; exciton transport"",""model"":""Analog quantum simulator using superconducting circuits (open quantum system simulation)"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
6,2,"{""system"": ""Fenna–Matthews–Olson (FMO) photosynthetic complex; superconducting-circuit analog quantum simulator"", ""model"": ""Analog quantum simulation of open quantum systems using superconducting circuits"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
6,4,"{
  ""system"": ""Analog quantum simulator using superconducting circuits; Fenna–Matthews–Olson (FMO) photosynthetic complex"",
  ""model"": ""Open quantum system simulation / analog quantum simulator with superconducting circuits"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
7,1,"{""system"":""2D surface superconductivity; surface with strong spin-orbit coupling"",""model"":""BCS mean-field / LOFF theory with Rashba-type spin-orbit coupling"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
7,0,"{""system"": ""2D surface superconductivity; surface with strong spin-orbit coupling"", ""model"": ""BCS/LOFF mean-field theory with surface spin-orbit coupling"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
7,2,"{""system"":""2D surface superconductivity with strong spin-orbit coupling"",""model"":""BCS/LOFF mean-field theory with spin-orbit interaction"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
7,4,"{""system"": ""2D surface superconductor with strong surface spin-orbit coupling"", ""model"": ""BCS/LOFF mean-field theory with spin-orbit coupling"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
7,3,"{""system"":""2D surface superconductor with strong spin–orbit coupling; surface superconductivity"",""model"":""BCS/LOFF (FFLO) theory with Rashba spin-orbit coupling"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
8,0,"{""system"":""Twisted bilayer graphene; magic-angle graphene superlattice"",""model"":""Field-theory of Dirac fermions with Wess–Zumino–Witten terms / topological band analysis"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":4.0,""spin liquid el correlation"":5.0}"
8,1,"{""system"":""Twisted bilayer graphene (magic-angle); graphene superlattice"",""model"":""Field theory / nonlinear sigma model with Wess–Zumino–Witten terms; topological band analysis"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":5.0,""spin liquid el correlation"":4.0}"
8,2,"{""system"": ""Twisted bilayer graphene; magic-angle graphene superlattice"", ""model"": ""Wess-Zumino-Witten effective field theory; topological band-structure analysis"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 4, ""spin liquid el correlation"": 3}"
8,3,"{""system"": ""Twisted bilayer graphene; magic-angle graphene superlattice"", ""model"": ""Effective field theory (nonlinear sigma model with Wess-Zumino-Witten term); topological band theory"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 3, ""spin liquid el correlation"": 5}"
9,1,"{""system"":""Thin superconducting film with blind/open circular holes; patterned film"",""model"":""Ginzburg-Landau theory and numerical simulations (boundary-condition analysis)"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
9,0,"{""system"": ""Thin superconducting film with blind/open circular holes; mesoscopic superconducting film"", ""model"": ""Ginzburg-Landau theory and numerical simulations"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
8,4,"{""system"": ""Twisted bilayer graphene; magic-angle graphene superlattice"", ""model"": ""Wess-Zumino-Witten field theory / effective field theory; topological band analysis"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 5.0, ""spin liquid el correlation"": 3.0}"
9,2,"{""system"":""Thin superconducting film with blind/open circular holes; microdisk geometry"",""model"":""Ginzburg-Landau theory (nucleation analysis) with derived boundary condition and numerical simulations; Bitter-decoration experiments"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
9,3,"{""system"":""Thin superconducting film with blind and open circular holes; mesoscopic superconductor"",""model"":""Ginzburg-Landau theory; derived steplike thin-film boundary condition; numerical simulations; Bitter-decoration experiments"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
9,4,"{""system"":""Thin superconducting film with blind circular hole; mesoscopic patterned film"",""model"":""Ginzburg–Landau theory (numerical simulations) with derived boundary conditions"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
10,0,"{
  ""system"": ""RRh4B4, RxMo6S8, RxMo6Se6; rare-earth superconductors"",
  ""model"": ""Reformulated boson theory for the mixed state; self-consistent calculation of vortex currents and spin magnetization"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
10,3,"{
  ""system"": ""Rare-earth superconductors (RRh4B4, RxMo6S8, RxMo6Se6)"",
  ""model"": ""Boson theory reformulated for the mixed state (self-consistent vortex current and spin magnetization)"",
  ""pure el-ph coupling"": 0,
  ""bipolaron el-ph coupling"": 0,
  ""AFM fluctuation"": 0,
  ""FM fluctuation"": 0,
  ""charge density wave"": 0,
  ""nematic fluctuation"": 0,
  ""plasmon fluctuation"": 0,
  ""pure el correlation"": 0,
  ""spin liquid el correlation"": 0
}"
10,2,"{""system"": ""Rare-earth superconductors (RRh4B4, RxMo6S8, RxMo6Se6)"", ""model"": ""Boson theory reformulation; self-consistent calculation of vortex currents and spin magnetization"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
10,1,"{""system"":""RRh4B4, RxMo6S8, RxMo6Se6; rare-earth magnetic superconductors"",""model"":""Boson theory (self-consistent treatment of vortex currents and spin magnetization)"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":1.0,""FM fluctuation"":1.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
10,4,"{""system"":""RRh4B4, RxMo6S8, RxMo6Se6; rare-earth superconductors (mixed/vortex state)"",""model"":""Boson theory reformulated for mixed state; self-consistent vortex and spin-magnetization calculations"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
11,1,"{
  ""system"": ""Aluminium superconducting microwave resonator; superconducting detector"",
  ""model"": ""Experimental microwave resonator measurement"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
11,0,"{""system"": ""Aluminium superconducting microwave resonator"", ""model"": ""N/A"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
11,2,"{""system"": ""Aluminium; superconducting microwave resonator (detector)"", ""model"": ""Microwave resonator experiment; quasiparticle lifetime measurements"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
12,0,"{
  ""system"": ""N/A"",
  ""model"": ""N/A"",
  ""pure el-ph coupling"": 0,
  ""bipolaron el-ph coupling"": 0,
  ""AFM fluctuation"": 0,
  ""FM fluctuation"": 0,
  ""charge density wave"": 0,
  ""nematic fluctuation"": 0,
  ""plasmon fluctuation"": 0,
  ""pure el correlation"": 0,
  ""spin liquid el correlation"": 0
}"
11,4,"{""system"": ""Aluminium; superconducting microwave resonator (detector)"", ""model"": ""N/A"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
11,3,"{""system"": ""Aluminium superconducting microwave resonator; superconducting detector"", ""model"": ""microwave resonator experiment"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
12,1,"{""system"":""N/A"",""model"":""N/A"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
12,2,"{""system"":""N/A"",""model"":""N/A"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
