paper_idx,para_idx,GPT_output
12,0,"{""system"": ""N/A"", ""model"": ""N/A"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
11,0,"{""system"":""Aluminium superconducting microwave resonator; superconducting detector"",""model"":""microwave resonator detector experiment"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
13,0,"{""system"": ""MoxW1−xTe2; layered Weyl semimetal candidate"", ""model"": ""First-principles band-structure calculations (DFT)"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
15,0,"{""system"":""2D nanomaterials (graphene, graphene derivatives, graphene nanosheets/nanoplatelets, TMDs, MXenes, MOFs, COFs, h-BN, etc.)"",""model"":""N/A"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
14,0,"{""system"":""SrRuO3, CaRuO3, Sr2RuO4; Ru-based perovskites (ruthenates)"", ""model"":""Ru NMR (experimental)"", ""pure el-ph coupling"":0.0, ""bipolaron el-ph coupling"":0.0, ""AFM fluctuation"":2.0, ""FM fluctuation"":5.0, ""charge density wave"":0.0, ""nematic fluctuation"":0.0, ""plasmon fluctuation"":0.0, ""pure el correlation"":0.0, ""spin liquid el correlation"":0.0}"
17,0,"{""system"": ""HgBa2Ca2Cu3O8+δ; cuprate high-Tc superconductor"", ""model"": ""N/A"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
16,0,"{""system"": ""Complex oxides (manganites, high-Tc cuprates); mode-selective lattice excitation"", ""model"": ""Nonlinear phononics theory; ultrafast optical spectroscopy and ultrafast X-ray diffraction (XFEL); ionic Raman scattering framework"", ""pure el-ph coupling"": 5.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 1.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 2.0, ""spin liquid el correlation"": 0.0}"
18,0,"{""system"": ""HTS flux pump; high-temperature superconductor device (77 K)"", ""model"": ""E–J relation analysis; transformer–rectifier flux-pump experimental setup"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
19,0,"{
  ""system"": ""PEG-coated Fe3O4 nanoparticles (12–16 nm); magnetic nanoparticles"",
  ""model"": ""Co-precipitation synthesis; characterization by XRD, HRTEM; magnetometry (VSM, SQUID)"",
  ""pure el-ph coupling"": 0,
  ""bipolaron el-ph coupling"": 0,
  ""AFM fluctuation"": 0,
  ""FM fluctuation"": 0,
  ""charge density wave"": 0,
  ""nematic fluctuation"": 0,
  ""plasmon fluctuation"": 0,
  ""pure el correlation"": 0,
  ""spin liquid el correlation"": 0
}"
9,0,"{
  ""system"": ""Thin superconducting film with blind/open circular holes; mesoscopic superconductor"",
  ""model"": ""Ginzburg-Landau theory and numerical analysis; Bitter decoration experiments"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
20,0,"{""system"": ""Bi2O2S and Bi4O4S3; bismuth oxy-sulfide (BiS-based) systems"", ""model"": ""theoretical calculations; packing-factor model"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
21,0,"{""system"": ""superconducting quantum circuit; superconducting qubit (two-level system)"", ""model"": ""continuous weak measurement; Leggett–Garg inequality test"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
24,0,"{
  ""system"": ""Ultrathin Fe(110) films on Ag(111); ferromagnetic thin film"",
  ""model"": ""Conversion-electron Mössbauer spectroscopy; SQUID magnetometry (experimental)"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
23,0,"{
  ""system"": ""LaO1−xFxBiS2; BiS2-based superconductor"",
  ""model"": ""Neutron diffraction; pair distribution function (PDF) analysis"",
  ""pure el-ph coupling"": 1.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 5.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
25,0,"{""system"": ""Two-area interconnected power system with SMES (superconducting magnetic energy storage)"", ""model"": ""Computer simulations; self-tuning adaptive control"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
22,0,"{""system"": ""kappa-(BEDT-TTF)2Cu[N(CN)2]Br; quasi-2D organic superconductor near Mott transition"", ""model"": ""13C NMR spectroscopy (single-crystal)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 5.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 5.0, ""spin liquid el correlation"": 0.0}"
26,0,"{""system"": ""YBa2Cu3O7; cuprate superconductor"", ""model"": ""Ginzburg-Landau variational model (effective-mass tensor)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
28,0,"{""system"": ""Bi2Sr2CaCu2O8+δ; cuprate superconductor"", ""model"": ""Weak collective pinning theory; vortex dynamics analysis; dc-SQUID magnetometry (experimental)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
27,0,"{""system"": ""High-temperature superconductors (vortex dynamics; cuprates)"", ""model"": ""Collective pinning theory; Anderson-Kim model; magnetic relaxation experiments"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
30,0,"{""system"": ""REBCO (REBa2Cu3O7-x) coated conductors; cuprate high-temperature superconductors"", ""model"": ""N/A"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
29,0,"{""system"":""cuprates; high-Tc superconductors and parent insulators"",""model"":""nonadiabatic polaron-transport theory"",""pure el-ph coupling"":3.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
31,0,"{""system"": ""LiFe1−xCoxAs; Fe-based superconductor"", ""model"": ""Angle-resolved photoemission spectroscopy (ARPES)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 4.0, ""spin liquid el correlation"": 0.0}"
33,0,"{""system"": ""(Ba0.7K0.3)(Zn0.85Mn0.15)2As2; diluted magnetic semiconductor (isostructural to 122 ferropnictides)"", ""model"": ""N/A"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
34,0,"{""system"": ""Transition metals and their carbides"", ""model"": ""Strong-coupling electron-phonon (Eliashberg) theory; lattice dynamics model"", ""pure el-ph coupling"": 5, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
32,0,"{""system"": ""Magic-angle twisted bilayer graphene (MATBG); moiré 2D superlattice"", ""model"": ""Tilted-field magnetotransport and thermodynamic measurements (experimental)"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 5.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 2.0, ""spin liquid el correlation"": 0.0}"
35,0,"{""system"": ""CoPc (cobalt phthalocyanine) molecules on NbSe2; 2D superconductor with magnetic impurities"", ""model"": ""STM experiments; theoretical lattice and continuum models"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
39,0,"{""system"": ""Superconducting machines; cryogenic cooling systems for applications (aerospace, naval, wind, electric/hydrogen aircraft)"", ""model"": ""N/A"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
36,0,"{""system"": ""Tl2Ba2CuO6+δ; cuprate"", ""model"": ""phase-sensitive symmetry experiment"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 0.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
37,0,"{
  ""system"": ""Single-unit-cell FeSe on SrTiO3 (STO) (001 and 110); FeSe/STO interface"",
  ""model"": ""ARPES (angle-resolved photoemission spectroscopy); comparative surface study"",
  ""pure el-ph coupling"": 5.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
38,0,"{""system"":""van der Waals superconductor / monolayer ferromagnet heterostructure; moiré-engineered topological superconductor"",""model"":""STM/STS experiment (scanning tunneling microscopy and spectroscopy)"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
43,0,"{""system"": ""Ni-doped ZnO nanoparticles (Zn1−xNixO); diluted magnetic semiconductor"", ""model"": ""Experimental characterization (ultrasonic-assisted sol–gel synthesis; TEM, XRD, Raman, SQUID)"", ""pure el-ph coupling"": 0, ""bipolaron el-ph coupling"": 0, ""AFM fluctuation"": 0, ""FM fluctuation"": 0, ""charge density wave"": 0, ""nematic fluctuation"": 0, ""plasmon fluctuation"": 0, ""pure el correlation"": 0, ""spin liquid el correlation"": 0}"
42,0,"{""system"": ""BaFe2(As1−xPx)2; iron pnictide superconductor"", ""model"": ""N/A"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 5.0, ""FM fluctuation"": 0.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 2.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 1.0, ""spin liquid el correlation"": 0.0}"
41,0,"{""system"": ""superconductor with paramagnons (spin fluctuations)"", ""model"": ""Eliashberg theory with electron-phonon + paramagnon interactions"", ""pure el-ph coupling"": 4.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 3.0, ""FM fluctuation"": 3.0, ""charge density wave"": 0.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
40,0,"{""system"": ""La3Ni2O7; bilayer nickelate"", ""model"": ""Ultrafast optical pump-probe spectroscopy under high pressure; Rothwarf-Taylor analysis"", ""pure el-ph coupling"": 0.0, ""bipolaron el-ph coupling"": 0.0, ""AFM fluctuation"": 5.0, ""FM fluctuation"": 0.0, ""charge density wave"": 4.0, ""nematic fluctuation"": 0.0, ""plasmon fluctuation"": 0.0, ""pure el correlation"": 0.0, ""spin liquid el correlation"": 0.0}"
45,0,"{
  ""system"": ""pp → W+W− production; high-energy particle collisions"",
  ""model"": ""perturbative QCD (order-αs); analytic and Monte Carlo integration"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 0.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
46,0,"{""system"":""MgB2; magnesium diboride"",""model"":""N/A"",""pure el-ph coupling"":5,""bipolaron el-ph coupling"":0,""AFM fluctuation"":0,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":0,""plasmon fluctuation"":0,""pure el correlation"":0,""spin liquid el correlation"":0}"
44,0,"{
  ""system"": ""2H-NbSe2; transition metal dichalcogenide (TMD)"",
  ""model"": ""Angle-resolved photoemission spectroscopy (ARPES)"",
  ""pure el-ph coupling"": 0.0,
  ""bipolaron el-ph coupling"": 0.0,
  ""AFM fluctuation"": 0.0,
  ""FM fluctuation"": 0.0,
  ""charge density wave"": 5.0,
  ""nematic fluctuation"": 0.0,
  ""plasmon fluctuation"": 0.0,
  ""pure el correlation"": 0.0,
  ""spin liquid el correlation"": 0.0
}"
47,0,"{""system"":""Superconductors (general); review"",""model"":""Review; nonlinear and time-resolved terahertz spectroscopy"",""pure el-ph coupling"":0.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":0.0,""spin liquid el correlation"":0.0}"
49,0,"{""system"":""Iron-based superconductors; iron pnictides and chalcogenides"",""model"":""Multi-orbital low-energy models (orbital- and band-basis minimal models); renormalization group studies"",""pure el-ph coupling"":0,""bipolaron el-ph coupling"":0,""AFM fluctuation"":5,""FM fluctuation"":0,""charge density wave"":0,""nematic fluctuation"":5,""plasmon fluctuation"":0,""pure el correlation"":2,""spin liquid el correlation"":0}"
48,0,"{""system"":""Restacked monolayer TaS2 nanosheets; transition-metal dichalcogenide"",""model"":""Density functional theory"",""pure el-ph coupling"":2.0,""bipolaron el-ph coupling"":0.0,""AFM fluctuation"":0.0,""FM fluctuation"":0.0,""charge density wave"":0.0,""nematic fluctuation"":0.0,""plasmon fluctuation"":0.0,""pure el correlation"":2.0,""spin liquid el correlation"":0.0}"
